source identifier	source name	target prefix	target identifier	target name	confidence
mondo:0019970	Sinding-Larsen-Johansson disease	orphanet.ordo	orphanet.ordo:97337	Sinding-Larsen-Johansson disease	0.56
mondo:0012435	3-methylglutaconic aciduria type 5	orphanet.ordo	orphanet.ordo:66634	Dilated cardiomyopathy with ataxia	0.65
orphanet.ordo:99969	Pleomorphic liposarcoma	efo	efo:0003083	pleomorphic liposarcoma	0.72
ncit:C70549	Microscopic Polyarteritis	orphanet.ordo	orphanet.ordo:727	Microscopic polyangiitis	0.78
orphanet.ordo:163699	Alveolar soft tissue sarcoma	efo	efo:0007143	alveolar soft part sarcoma	0.73
orphanet.ordo:114	Auriculoosteodysplasia	mondo	mondo:0007177	auriculoosteodysplasia	0.85
mondo:0021022	hereditary hyperekplexia	orphanet.ordo	orphanet.ordo:3197	Hereditary hyperekplexia	0.74
orphanet.ordo:411712	Maternal riboflavin deficiency	mondo	mondo:0014013	maternal riboflavin deficiency	0.76
mondo:0018381	osteochondrosis	orphanet.ordo	orphanet.ordo:399319	Osteochondrosis	0.75
orphanet.ordo:458768	Papillary intralymphatic angioendothelioma	mondo	mondo:0018714	primary intralymphatic angioendothelioma	0.85
orphanet.ordo:93256	Fragile X-associated tremor/ataxia syndrome	mondo	mondo:0010382	fragile X-associated tremor/ataxia syndrome	0.87
mondo:0018861	Zellweger-like syndrome without peroxisomal anomalies	orphanet.ordo	orphanet.ordo:50812	Zellweger-like syndrome without peroxisomal anomalies	0.81
orphanet.ordo:3175	X-linked spasticity-intellectual disability-epilepsy syndrome	mondo	mondo:0017856	X-linked spasticity-intellectual disability-epilepsy syndrome	0.93
orphanet.ordo:254351	Distal 7q11.23 microdeletion syndrome	mondo	mondo:0013393	distal 7q11.23 microdeletion syndrome	0.85
ncit:C3841	Congenital Hemangioma	orphanet.ordo	orphanet.ordo:458775	Congenital hemangioma	0.81
mondo:0009635	microvillus inclusion disease	orphanet.ordo	orphanet.ordo:2290	Microvillus inclusion disease	0.78
orphanet.ordo:247834	Occult macular dystrophy	mondo	mondo:0013316	occult macular dystrophy	0.55
mondo:0016211	non-papillary transitional cell carcinoma of the bladder	orphanet.ordo	orphanet.ordo:209989	Non-papillary transitional cell carcinoma of the bladder	0.74
mondo:0020047	autosomal recessive syndromic cerebellar ataxia	orphanet.ordo	orphanet.ordo:98099	Autosomal recessive syndromic cerebellar ataxia	0.87
ncit:C94335	Pathological Gambling	mesh	mesh:D005715	Gambling	1.05
mondo:0034971	isolated congenital entropion	orphanet.ordo	orphanet.ordo:519386	Isolated congenital entropion	0.76
orphanet.ordo:629	Short stature due to growth hormone qualitative anomaly	mondo	mondo:0009879	short stature due to growth hormone qualitative anomaly	0.72
mondo:0018997	Noonan syndrome	orphanet.ordo	orphanet.ordo:648	Noonan syndrome	0.74
orphanet.ordo:3236	Conductive deafness-ptosis-skeletal anomalies syndrome	mondo	mondo:0009084	conductive deafness-ptosis-skeletal anomalies syndrome	0.92
orphanet.ordo:2459	Mansonelliasis	ncit	ncit:C84882	Mansonelliasis	0.79
orphanet.ordo:68356	Leukodystrophy	ncit	ncit:C61253	Leukodystrophy	0.75
ncit:C6957	Childhood Cerebral Embryonal Tumor with Multilayered Rosettes, C19MC-Altered	doid	doid:7841	childhood embryonal tumor with multilayered rosettes, C19MC-altered	0.84
mondo:0015149	pure hereditary spastic paraplegia	orphanet.ordo	orphanet.ordo:102012	Pure hereditary spastic paraplegia	0.94
doid:10685	separation anxiety disorder	ncit	ncit:C35014	Separation Anxiety Disorder	0.98
ncit:C8975	Malignant Mixed Mesodermal (Mullerian) Tumor	mondo	mondo:0002928	carcinosarcoma	0.91
orphanet.ordo:99049	Pulmonary artery coming from patent ductus arteriosus	mondo	mondo:0020390	pulmonary artery coming from patent ductus arteriosus	0.76
mondo:0018751	hereditary otorhinolaryngologic disease	orphanet.ordo	orphanet.ordo:466084	Genetic otorhinolaryngologic disease	0.72
orphanet.ordo:620113	Non-syndromic unilambdoid craniosynostosis	mondo	mondo:0850074	non-syndromic unilambdoid craniosynostosis	0.75
mondo:0012992	pancreatic insufficiency-anemia-hyperostosis syndrome	orphanet.ordo	orphanet.ordo:199337	Pancreatic insufficiency-anemia-hyperostosis syndrome	0.76
orphanet.ordo:324625	Chikungunya	mondo	mondo:0017941	chikungunya	0.76
orphanet.ordo:100093	Carcinoid syndrome	mondo	mondo:0100347	carcinoid syndrome	0.81
orphanet.ordo:659463	Imagawa-Matsumoto syndrome	mondo	mondo:0032916	Imagawa-Matsumoto syndrome	0.85
orphanet.ordo:3303	Tetralogy of Fallot	ncit	ncit:C84505	Tetralogy of Fallot	0.75
orphanet.ordo:710	Pfeiffer syndrome	mondo	mondo:0007043	Pfeiffer syndrome	0.6
mondo:0014726	Charcot-Marie-Tooth disease axonal type 2X	orphanet.ordo	orphanet.ordo:466775	Autosomal recessive Charcot-Marie-Tooth disease type 2X	0.85
mondo:0014492	wooly hair-palmoplantar keratoderma syndrome	orphanet.ordo	orphanet.ordo:420686	Woolly hair-palmoplantar keratoderma syndrome	0.65
mondo:0009870	pili torti	orphanet.ordo	orphanet.ordo:2889	Pili torti	0.77
orphanet.ordo:640	Hereditary neuropathy with liability to pressure palsies	mondo	mondo:0008087	hereditary neuropathy with liability to pressure palsies	0.85
mondo:0003056	lymphoplasmacyte-rich meningioma	efo	efo:1000342	Lymphoplasmacyte-Rich Meningioma	1.04
orphanet.ordo:645337	Terminal myelocystocele	mondo	mondo:0970962	terminal myelocystocele	0.74
orphanet.ordo:480476	Progressive familial intrahepatic cholestasis type 5	mondo	mondo:0014884	cholestasis, progressive familial intrahepatic, 5	0.81
efo:0009048	Intrahepatic cholestasis of pregnancy	orphanet.ordo	orphanet.ordo:69665	Intrahepatic cholestasis of pregnancy	0.84
orphanet.ordo:2140	Congenital diaphragmatic hernia	efo	efo:0007216	congenital diaphragmatic hernia	0.87
doid:8661	lip carcinoma in situ	ncit	ncit:C4588	Stage 0 Lip Cancer AJCC v6 and v7	0.83
ncit:C34963	Henoch-Schönlein Purpura	efo	efo:1000965	Henoch-Schoenlein purpura	0.75
ncit:C4196	Acinar Cell Adenoma	mondo	mondo:0004972	adenoma	0.53
ncit:C3889	Pelvic Inflammatory Disease	mesh	mesh:D000292	Pelvic Inflammatory Disease	0.59
mondo:0005058	leiomyosarcoma	orphanet.ordo	orphanet.ordo:64720	Leiomyosarcoma	0.72
mondo:0017233	familial Alzheimer-like prion disease	orphanet.ordo	orphanet.ordo:280397	Familial Alzheimer-like prion disease	0.75
ncit:C116815	Ophthalmia Neonatorum	mesh	mesh:D009878	Ophthalmia Neonatorum	0.74
orphanet.ordo:93448	Lysosomal storage disease with skeletal involvement	mondo	mondo:0800088	lysosomal storage disease with skeletal involvement	0.75
orphanet.ordo:2323	Sanjad-Sakati syndrome	mondo	mondo:0009426	hypoparathyroidism-retardation-dysmorphism syndrome	0.63
doid:3959	adrenal cortical adenocarcinoma	ncit	ncit:C9325	Adrenal Cortical Carcinoma	0.68
mondo:0010395	phosphoribosylpyrophosphate synthetase superactivity	orphanet.ordo	orphanet.ordo:3222	Phosphoribosylpyrophosphate synthetase superactivity	0.85
doid:0070003	blastoma	ncit	ncit:C8997	Blastoma	0.89
doid:1123	spondyloarthropathy	ncit	ncit:C116778	Spondyloarthritis	0.6
orphanet.ordo:141239	Median cleft of the upper lip and maxilla	mondo	mondo:0015413	median cleft of the upper lip and maxilla	0.75
efo:1001063	noma	orphanet.ordo	orphanet.ordo:2700	Noma	0.63
mondo:0010537	Borjeson-Forssman-Lehmann syndrome	orphanet.ordo	orphanet.ordo:127	Borjeson-Forssman-Lehmann syndrome	0.57
mondo:0016015	phenobarbital embryopathy	orphanet.ordo	orphanet.ordo:1919	Phenobarbital embryopathy	0.92
orphanet.ordo:85182	Diaphyseal medullary stenosis-bone malignancy syndrome	mondo	mondo:0007205	diaphyseal medullary stenosis-bone malignancy syndrome	0.6
orphanet.ordo:100986	Autosomal recessive spastic paraplegia type 5A	mondo	mondo:0010047	hereditary spastic paraplegia 5A	0.9
mondo:0010115	thoracic dysplasia-hydrocephalus syndrome	orphanet.ordo	orphanet.ordo:1861	Thoracic dysplasia-hydrocephalus syndrome	0.89
mondo:0003649	esophageal neuroendocrine tumor	orphanet.ordo	orphanet.ordo:506136	Neuroendocrine neoplasm of esophagus	0.78
mondo:0010325	X-linked intellectual disability, Stocco dos Santos type	orphanet.ordo	orphanet.ordo:85288	X-linked intellectual disability, Stocco Dos Santos type	0.86
orphanet.ordo:70568	Post-transplant lymphoproliferative disease	mondo	mondo:0019088	post-transplant lymphoproliferative disease	1.03
mondo:0008206	benign paroxysmal tonic upgaze of childhood with ataxia	orphanet.ordo	orphanet.ordo:1179	Benign paroxysmal tonic upgaze of childhood with ataxia	0.87
mondo:0009012	multiple pterygium-malignant hyperthermia syndrome	orphanet.ordo	orphanet.ordo:2215	Multiple pterygium-malignant hyperthermia syndrome	0.66
orphanet.ordo:99072	Congenital patent ductus arteriosus aneurysm	mondo	mondo:0020412	congenital patent ductus arteriosus aneurysm	0.76
mondo:0008198	parietal foramina with cleidocranial dysplasia	orphanet.ordo	orphanet.ordo:251290	Parietal foramina with clavicular hypoplasia	0.9
mondo:0018215	paraneoplastic neurologic syndrome	orphanet.ordo	orphanet.ordo:36388	Paraneoplastic neurologic syndrome	0.74
mondo:0010392	glycogen storage disease due to phosphoglycerate kinase 1 deficiency	orphanet.ordo	orphanet.ordo:713	Glycogen storage disease due to phosphoglycerate kinase 1 deficiency	0.9
mondo:0013947	neuronopathy, distal hereditary motor, autosomal recessive 5	orphanet.ordo	orphanet.ordo:314485	Young adult-onset distal hereditary motor neuropathy	0.54
orphanet.ordo:2273	Ichthyosis follicularis-alopecia-photophobia syndrome	mondo	mondo:0100212	IFAP syndrome	0.81
mondo:0009353	homocystinuria due to methylene tetrahydrofolate reductase deficiency	orphanet.ordo	orphanet.ordo:395	Homocystinuria due to methylene tetrahydrofolate reductase deficiency	0.86
orphanet.ordo:36426	Stevens-Johnson syndrome	doid	doid:0050426	Stevens-Johnson syndrome	0.5
orphanet.ordo:3095	Atypical Rett syndrome	mondo	mondo:0017746	atypical Rett syndrome	0.97
mondo:0011705	lymphangioleiomyomatosis	doid	doid:3319	lymphangioleiomyomatosis	0.53
doid:9955	hypoplastic left heart syndrome	omim.ps	omim.ps:241550	Hypoplastic left heart syndrome	0.7
doid:11320	Kyasanur forest disease	orphanet.ordo	orphanet.ordo:319254	Kyasanur forest disease	0.8
mondo:0018943	myofibrillar myopathy	orphanet.ordo	orphanet.ordo:593	Myofibrillar myopathy	0.63
mondo:0016338	non-familial dilated cardiomyopathy	orphanet.ordo	orphanet.ordo:217629	Non-familial dilated cardiomyopathy	0.83
orphanet.ordo:2754	Orofaciodigital syndrome type 6	mondo	mondo:0010176	orofaciodigital syndrome type 6	0.71
orphanet.ordo:83454	Glomuvenous malformation	mondo	mondo:0007672	glomuvenous malformation	0.68
orphanet.ordo:319667	Primary lymphoma of the conjunctiva	mondo	mondo:0017907	primary lymphoma of the conjunctiva	0.83
orphanet.ordo:263665	NK-cell enteropathy	mondo	mondo:0016996	NK-cell enteropathy	0.88
orphanet.ordo:289656	Epstein-Barr Virus-associated mesenchymal tumor	mondo	mondo:0017345	Epstein-Barr virus-associated mesenchymal tumor	0.86
orphanet.ordo:352712	Facial dysmorphism-immunodeficiency-livedo-short stature syndrome	mondo	mondo:0014058	facial dysmorphism-immunodeficiency-livedo-short stature syndrome	0.89
orphanet.ordo:2132	Hemoglobin C disease	mondo	mondo:0016242	hemoglobin C disease	0.86
mondo:0015092	cleft hard palate	orphanet.ordo	orphanet.ordo:101023	Cleft hard palate	0.75
mondo:0019355	adult-onset Still disease	orphanet.ordo	orphanet.ordo:829	Adult-onset Still disease	0.75
orphanet.ordo:86829	Chronic neutrophilic leukemia	efo	efo:1000179	Chronic Neutrophilic Leukemia	0.85
mondo:0010064	spastic ataxia-corneal dystrophy syndrome	orphanet.ordo	orphanet.ordo:2572	Spastic ataxia-corneal dystrophy syndrome	0.75
orphanet.ordo:1515	Cranioectodermal dysplasia	mondo	mondo:0009032	cranioectodermal dysplasia	0.75
mondo:0009532	Miller-Dieker lissencephaly syndrome	orphanet.ordo	orphanet.ordo:531	Miller-Dieker syndrome	0.6
mondo:0958122	idiopathic small fibers neuropathy	orphanet.ordo	orphanet.ordo:658549	Idiopathic small fibers neuropathy	0.77
mondo:0013296	myeloid neoplasm associated with FGFR1 rearrangement	orphanet.ordo	orphanet.ordo:168953	Myeloid/lymphoid neoplasm associated with FGFR1 rearrangement	0.81
mondo:0016574	hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome	orphanet.ordo	orphanet.ordo:2435	Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome	0.72
mesh:D003193	Compulsive Personality Disorder	ncit	ncit:C92638	Obsessive-Compulsive Personality Disorder	1.01
orphanet.ordo:498474	Hyaline fibromatosis syndrome	mondo	mondo:0009229	hyaline fibromatosis syndrome	0.65
mondo:0009373	seizures-intellectual disability due to hydroxylysinuria syndrome	orphanet.ordo	orphanet.ordo:79156	Seizures-intellectual disability due to hydroxylysinuria syndrome	0.75
mondo:0017201	Spasmus nutans	orphanet.ordo	orphanet.ordo:279882	Spasmus nutans	0.77
mondo:0019607	unspecified juvenile idiopathic arthritis	orphanet.ordo	orphanet.ordo:91140	Unspecified juvenile idiopathic arthritis	0.75
mondo:0009156	ectrodactyly-polydactyly syndrome	orphanet.ordo	orphanet.ordo:1892	Ectrodactyly-polydactyly syndrome	0.97
orphanet.ordo:254925	Combined oxidative phosphorylation defect type 4	mondo	mondo:0012534	combined oxidative phosphorylation defect type 4	0.9
mondo:0019035	pancreatoblastoma	orphanet.ordo	orphanet.ordo:677	Pancreatoblastoma	0.74
orphanet.ordo:309120	Acyl-CoA dehydrogenase deficiency	mondo	mondo:0017714	acyl-CoA dehydrogenase deficiency	0.84
mesh:D021866	Cyclosporiasis	ncit	ncit:C128409	Cyclosporiasis	0.94
mondo:0044877	paraneoplastic cerebellar degeneration	orphanet.ordo	orphanet.ordo:623626	Paraneoplastic cerebellar degeneration	0.8
orphanet.ordo:182	Chromomycosis	doid	doid:1562	chromoblastomycosis	0.79
mondo:0019872	distal trisomy 3p	orphanet.ordo	orphanet.ordo:96071	Distal duplication 3p syndrome	0.62
mondo:0009331	isolated hemihyperplasia	orphanet.ordo	orphanet.ordo:2128	Isolated hemihyperplasia	0.88
mondo:0009134	congenital dyserythropoietic anemia type 2	orphanet.ordo	orphanet.ordo:98873	Congenital dyserythropoietic anemia type II	0.84
orphanet.ordo:1262	Böök syndrome	mondo	mondo:0007207	Böök syndrome	0.78
mondo:0015050	esophageal duplication cyst	orphanet.ordo	orphanet.ordo:100047	Esophageal duplication cyst	0.82
orphanet.ordo:2552	Microsporidiosis	ncit	ncit:C84891	Microsporidiosis	0.82
orphanet.ordo:464724	Fever-associated acute infantile liver failure syndrome	mondo	mondo:0000023	infantile liver failure	0.81
orphanet.ordo:1677	Familial idiopathic dilatation of the right atrium	mondo	mondo:0015666	familial idiopathic dilatation of the right atrium	0.78
mondo:0010044	hereditary spastic paraplegia 15	orphanet.ordo	orphanet.ordo:100996	Autosomal recessive spastic paraplegia type 15	0.89
orphanet.ordo:99857	Secondary syringomyelia	mondo	mondo:0020509	secondary syringomyelia	0.77
mesh:D006925	Hymenolepiasis	orphanet.ordo	orphanet.ordo:401	Hymenolepiasis	0.77
orphanet.ordo:98772	Spinocerebellar ataxia type 19/22	mondo	mondo:0011819	spinocerebellar ataxia type 19/22	0.76
mondo:0800046	thyroid hormone metabolism, abnormal 1	orphanet.ordo	orphanet.ordo:171706	Short stature-delayed bone age due to thyroid hormone metabolism deficiency	0.81
ncit:C84581	Babesiosis	mesh	mesh:D001404	Babesiosis	0.89
orphanet.ordo:324604	Classic multiminicore myopathy	mondo	mondo:0017939	classic multiminicore myopathy	0.71
mondo:0043923	lichen planus, oral	efo	efo:0008517	oral lichen planus	1.02
doid:0080851	IgA pemphigus	orphanet.ordo	orphanet.ordo:555905	IgA pemphigus	0.74
orphanet.ordo:276556	Hyperinsulinism due to UCP2 deficiency	mondo	mondo:0017183	hyperinsulinism due to UCP2 deficiency	0.77
mesh:D009471	Neuromyelitis Optica	orphanet.ordo	orphanet.ordo:71211	Neuromyelitis optica spectrum disorder	0.6
mondo:0009589	mesomelic dwarfism-cleft palate-camptodactyly syndrome	orphanet.ordo	orphanet.ordo:2631	Mesomelic dwarfism-cleft palate-camptodactyly syndrome	0.62
orphanet.ordo:352728	Disorder of melanin metabolism	mondo	mondo:0018134	disorder of melanin metabolism	0.77
orphanet.ordo:251582	Gliomatosis cerebri	ncit	ncit:C4318	Gliomatosis Cerebri	0.84
mondo:0017170	idiopathic recurrent stupor	orphanet.ordo	orphanet.ordo:276174	Idiopathic recurrent stupor	0.78
orphanet.ordo:98794	Angelman syndrome due to maternal 15q11q13 deletion	mondo	mondo:0020302	Angelman syndrome due to maternal 15q11q13 deletion	0.73
orphanet.ordo:228116	Hughes-Stovin syndrome	mondo	mondo:0016425	Hughes-Stovin syndrome	0.79
mondo:0020476	mesial temporal lobe epilepsy with hippocampal sclerosis	orphanet.ordo	orphanet.ordo:99701	Mesial temporal lobe epilepsy with hippocampal sclerosis	0.8
mondo:0020089	acquired lipodystrophy	orphanet.ordo	orphanet.ordo:98307	Acquired lipodystrophy	0.78
mondo:0007298	spinocerebellar ataxia type 29	orphanet.ordo	orphanet.ordo:208513	Spinocerebellar ataxia type 29	0.64
orphanet.ordo:420789	Autoimmune encephalopathy with parasomnia and obstructive sleep apnea	mondo	mondo:0018489	autoimmune encephalopathy with parasomnia and obstructive sleep apnea	0.55
orphanet.ordo:890	Hepatic veno-occlusive disease	doid	doid:0080177	hepatic veno-occlusive disease	0.85
mesh:D008271	Mycetoma	ncit	ncit:C85505	Mycetoma	0.56
orphanet.ordo:79213	Mucopolysaccharidosis	mondo	mondo:0019249	mucopolysaccharidosis	0.77
orphanet.ordo:99978	Klatskin tumor	mondo	mondo:0003345	hilar cholangiocarcinoma	0.52
mondo:0032643	pontocerebellar hypoplasia, type 12	orphanet.ordo	orphanet.ordo:611256	Pontocerebellar hypoplasia type 12	0.79
orphanet.ordo:73273	Growth delay due to insulin-like growth factor I resistance	mondo	mondo:0010038	growth delay due to insulin-like growth factor I resistance	0.95
mesh:D065631	Rhinitis, Allergic	ncit	ncit:C79532	Allergic Rhinitis	0.87
mondo:0007536	congenital lobar emphysema	orphanet.ordo	orphanet.ordo:1928	Congenital lobar emphysema	0.75
mesh:D006506	Hepatitis A	ncit	ncit:C3096	Hepatitis A Infection	0.79
mondo:0007651	gastrocutaneous syndrome	orphanet.ordo	orphanet.ordo:2069	Gastrocutaneous syndrome	0.77
