source identifier	source name	target prefix	predicted identifier	predicted name	true identifier	true name	confidence
icd11:1720386511	Duplications of the short arm of chromosome 10	mondo	mondo:0016931	partial duplication of chromosome 10	mondo:0016947	partial duplication of the short arm of chromosome 10	0.59
doid:0050685	small cell carcinoma	ncit	ncit:C3915	Small Cell Neuroendocrine Carcinoma	ncit:C4099	Small Cell Intermediate Cell Carcinoma	0.53
doid:0110267	cataract 44	mondo	mondo:0021548	total early-onset cataract	mondo:0014673	cataract 44	0.76
efo:0007231	cysticercosis	icd11	icd11:32590653	Taeniasis due to Taenia solium	icd11:1324863907	Cysticercosis	0.69
doid:8683	myeloid sarcoma	ncit	ncit:C3520	Myeloid Sarcoma	ncit:C35815	Granulocytic Sarcoma	0.64
mondo:0004032	ovarian seromucinous carcinoma	ncit	ncit:C179339	Ovarian Mixed Cell Adenocarcinoma	ncit:C40090	Ovarian Seromucinous Carcinoma	0.92
mondo:0009692	primary myelofibrosis	doid	doid:6004	aleukemic leukemia	doid:4971	myelofibrosis	0.61
efo:1001934	adult acute myeloid leukemia	ncit	ncit:C9380	Adult Acute Myeloid Leukemia without Maturation	ncit:C9154	Adult Acute Myeloid Leukemia	0.91
efo:0007501	strongyloidiasis	icd11	icd11:1644559256	Disseminated strongyloidiasis	icd11:2088326190	Strongyloidiasis	0.71
icd11:972507934	Hashimoto thyroiditis	mondo	mondo:0005623	autoimmune thyroid disease	mondo:0007699	Hashimoto thyroiditis	0.66
mondo:0004947	B-cell acute lymphoblastic leukemia	ncit	ncit:C80326	B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified	ncit:C8936	B Lymphoblastic Leukemia/Lymphoma	0.65
mondo:0005090	schizophrenia	doid	doid:0070086	schizophrenia 10	doid:5419	schizophrenia	0.83
doid:0080474	pustular psoriasis 14	orphanet.ordo	orphanet.ordo:163931	Acrodermatitis continua of Hallopeau	orphanet.ordo:404546	DITRA	0.74
orphanet:59135	Laing distal myopathy	mondo	mondo:0014877	myopathy, distal, 5	mondo:0008050	MYH7-related skeletal myopathy	0.91
omim.ps:236100	Holoprosencephaly	mondo	mondo:0012927	chromosome 1q41-q42 deletion syndrome	mondo:0016296	holoprosencephaly	0.51
efo:1000830	bacterial endocarditis	doid	doid:0060000	infective endocarditis	doid:762	obsolete bacterial endocarditis	0.85
doid:0081060	X-linked nephrogenic diabetes insipidus	mondo	mondo:0016383	nephrogenic diabetes insipidus	mondo:0010581	diabetes insipidus, nephrogenic, X-linked	0.88
efo:1000309	Juvenile Myelomonocytic Leukemia	doid	doid:0080188	chronic myelomonocytic leukemia	doid:0050458	juvenile myelomonocytic leukemia	0.64
orphanet.ordo:295012	Syndactyly type 6	doid	doid:0111813	syndactyly type 8	doid:11193	syndactyly	0.61
icd11:953963439	Mucous membrane pemphigoid with ocular involvement	mondo	mondo:0018746	mucous membrane pemphigoid	mondo:0008109	ocular cicatricial pemphigoid	0.64
doid:0050444	infantile Refsum disease	mondo	mondo:0011101	peroxisome biogenesis disorder 1B	mondo:0019174	obsolete infantile Refsum disease	0.64
mondo:0019475	subcutaneous panniculitis-like T-cell lymphoma	icd11	icd11:1831955651	Subcutaneous panniculitis-like T-cell lymphoma	icd11:1550338805	Subcutaneous panniculitis-like T-cell lymphoma	0.64
efo:0005952	non-Hodgkins lymphoma	ncit	ncit:C7706	Childhood Non-Hodgkin Lymphoma	ncit:C3211	Non-Hodgkin Lymphoma	0.7
omim.ps:603165	Dermatitis, atopic	mondo	mondo:0004980	atopic eczema	mondo:0100178	dermatitis, atopic, susceptibility to	0.7
doid:3187	brain oligodendroglioma	ncit	ncit:C9376	Adult Brain Oligodendroglioma	ncit:C9377	Brain Oligodendroglioma	0.72
gard:6959	Mal de Debarquement	mondo	mondo:0002009	major depressive disorder	mondo:0016217	mal de Debarquement	0.5
mondo:0021534	rectal neuroendocrine tumor G1	ncit	ncit:C160451	Rectal Neuroendocrine Tumor G2	ncit:C5547	Rectal Neuroendocrine Tumor G1	0.83
ncit:C47857	Breast Paget Disease	mondo	mondo:0015873	Paget disease of the nipple	mondo:0002648	mammary Paget disease	0.74
icd11:1884626736	Posterior uveitis	mondo	mondo:0006918	posterior uveitis	mondo:0001280	choroiditis	0.66
efo:1000172	cervical squamous cell carcinoma	ncit	ncit:C180839	Cervical Squamous Cell Carcinoma, Not Otherwise Specified	ncit:C4028	Cervical Squamous Cell Carcinoma	1.04
ncit:C35806	Acute Interstitial Pneumonia	mondo	mondo:0015175	autoimmune pancreatitis	mondo:0019203	acute interstitial pneumonia	0.54
efo:1001241	Wernicke encephalopathy	icd11	icd11:323500367	Dementia due to thiamine deficiency	icd11:1360335041	Wernicke encephalopathy	0.59
icd11:1184209951	Nephrotic syndrome	mondo	mondo:0002331	nephrosis	mondo:0005377	nephrotic syndrome	0.84
efo:0009425	Yersinia pestis infectious disease	doid	doid:10773	bubonic plague	doid:3482	plague	0.7
mondo:0003607	neuritis of upper limb	doid	doid:1844	mononeuritis of upper limb	doid:572	mononeuritis of upper limb and mononeuritis multiplex	0.74
doid:3642	empty sella syndrome	efo	efo:1000919	endometrial stromal sarcoma	efo:1000914	empty sella syndrome	0.59
doid:11193	syndactyly	mondo	mondo:0000151	symphalangism	mondo:0021002	syndactyly	0.73
mondo:0007379	Meesmann corneal dystrophy	doid	doid:0080670	Meesmann corneal dystrophy 1	doid:0060451	Meesmann corneal dystrophy	0.76
mondo:0019200	retinitis pigmentosa	doid	doid:12162	pseudoretinitis pigmentosa	doid:10584	retinitis pigmentosa	0.52
efo:0001064	Down syndrome	ncit	ncit:C101222	Complete Trisomy 21 Syndrome	ncit:C2993	Down Syndrome	0.8
mondo:0003544	spinal cord cancer	ncit	ncit:C3382	Intraspinal Neoplasm	ncit:C3572	Malignant Spinal Cord Neoplasm	0.85
doid:11976	botulism	mondo	mondo:0016453	foodborne botulism	mondo:0005498	botulism	0.73
mondo:0009476	atresia of small intestine	ncit	ncit:C101027	Jejunal Atresia	ncit:C98828	Small Intestine Atresia	0.68
mondo:0042491	cervical squamous intraepithelial neoplasia	ncit	ncit:C3782	Cervical Intraepithelial Neoplasia	ncit:C7346	Cervical Squamous Intraepithelial Neoplasia	0.76
doid:13943	acute gonococcal prostatitis	mondo	mondo:0021161	gonococcal prostatitis	mondo:0001838	acute gonococcal prostatitis	0.66
efo:0005044	Leishmaniasis	icd11	icd11:949267034	Post-kala-azar dermal leishmaniasis	icd11:1082373067	Leishmaniasis	0.73
efo:1001128	Rickettsiaceae infectious disease	mesh	mesh:D000073605	Spotted Fever Group Rickettsiosis	mesh:D012288	Rickettsiaceae Infections	0.72
mondo:0001152	amnestic disorder	icd11	icd11:862469859	Amnestic disorder due to diseases classified elsewhere	icd11:386330688	Amnestic disorder	0.62
doid:3165	skin benign neoplasm	ncit	ncit:C2896	Benign Skin Neoplasm	ncit:C3372	Skin Neoplasm	0.91
omim.ps:252270	Monosomy 7 myelodysplasia and leukemia syndrome	mondo	mondo:0009646	monosomy 7 myelodysplasia and leukemia syndrome 1	mondo:0044645	familial monosomy 7 syndrome	0.51
mondo:0006676	beriberi	icd11	icd11:2092499426	Vitamin B1 deficiency	icd11:632832064	Beriberi	0.7
efo:0008518	polymyalgia rheumatica	mondo	mondo:0008538	temporal arteritis	mondo:0019735	polymyalgia rheumatica	0.66
ncit:C61272	Glycogen Storage Disease	mondo	mondo:0009865	glycogen storage disease due to phosphoglycerate mutase deficiency	mondo:0002412	disorder of glycogen metabolism	0.6
mondo:0002525	inherited lipid metabolism disorder	ncit	ncit:C117115	Fatty Acid Metabolism Disorder	ncit:C97092	Lipid Metabolism Disorder	0.54
mondo:0017666	diffuse palmoplantar keratoderma	hp	hp:0007447	Diffuse palmoplantar hyperkeratosis	hp:0007435	obsolete Diffuse palmoplantar keratoderma	0.62
doid:75	lymphatic system disease	mondo	mondo:0044986	lymphoid system disorder	mondo:0005833	lymphatic system disorder	0.83
ncit:C176895	Mitochondrial Complex IV Deficiency, Nuclear Type 1	doid	doid:0112082	nuclear type mitochondrial complex I deficiency 4	doid:0070491	mitochondrial complex IV deficiency nuclear type 1	0.77
efo:0007475	Salmonella gastroenteritis	doid	doid:0060859	salmonellosis	doid:11092	obsolete Salmonella gastroenteritis	0.67
mondo:0006745	endometrioid stromal sarcoma	doid	doid:3642	empty sella syndrome	doid:4226	endometrial stromal sarcoma	0.59
icd11:1059069619	Haemorrhagic fever with renal syndrome	mondo	mondo:0005784	hantavirus hemorrhagic fever with renal syndrome	mondo:0018081	hemorrhagic fever-renal syndrome	0.69
ncit:C84719	Frontotemporal Dementia	mondo	mondo:0010857	semantic dementia	mondo:0017276	frontotemporal dementia	0.83
mondo:0850339	posterior fossa ependymoma	ncit	ncit:C186449	Posterior Fossa Ependymoma, Not Otherwise Specified	ncit:C186443	Posterior Fossa Ependymoma	0.71
doid:0060415	chromosome 2p16.1-p15 deletion syndrome	mondo	mondo:0013696	chromosome 2p16.3 deletion syndrome	mondo:0012916	chromosome 2p16.1-p15 deletion syndrome	0.65
doid:0090053	episodic kinesigenic dyskinesia 1	mondo	mondo:0044202	episodic kinesigenic dyskinesia	mondo:0100352	episodic kinesigenic dyskinesia 1	0.76
mondo:0021156	hypophysitis	icd11	icd11:294069435	Pituitary gland	icd11:1589682285	Hypophysitis	0.72
mondo:0023076	eosinophilic pustular folliculitis	icd11	icd11:37913323	Classical adult eosinophilic pustular folliculitis	icd11:1653155576	Eosinophilic pustular folliculitis	0.6
omim.ps:614080	Multiple congenital anomalies-hypotonia-seizures syndrome	mondo	mondo:0013563	multiple congenital anomalies-hypotonia-seizures syndrome 1	mondo:0100247	multiple congenital anomalies-hypotonia-seizures syndrome	0.5
doid:292	lacrimal system cancer	ncit	ncit:C175308	Malignant Lacrimal System Neoplasm	ncit:C5102	Lacrimal System Neoplasm	0.81
doid:0090005	Schwartz-Jampel syndrome 1	mondo	mondo:0009496	Kniest-like dysplasia with pursed lips and ectopia lentis	mondo:0100435	Schwartz-Jampel syndrome type 1	0.69
mondo:0008746	oculocutaneous albinism type 2	icd11	icd11:735894380	Tyrosinase-positive oculocutaneous albinism	icd11:2019316252	Oculocutaneous albinism type 2	0.64
doid:0060377	orofaciodigital syndrome VII	mondo	mondo:0010336	orofaciodigital syndrome VIII	mondo:0012049	orofaciodigital syndrome VII	0.67
mondo:0009284	glutathione synthetase deficiency without 5-oxoprolinuria	icd11	icd11:2135206332	Haemolytic anaemia due to glutathione synthetase deficiency	icd11:178842925	Glutathione synthetase deficiency without 5-oxoprolinuria	0.68
mondo:0004631	tongue cancer	ncit	ncit:C4824	Tongue Carcinoma	ncit:C9345	Malignant Tongue Neoplasm	0.81
mondo:0011022	Potocki-Shaffer syndrome	doid	doid:0110345	osteogenesis imperfecta type 16	doid:0111687	Potocki-Shaffer syndrome	0.53
doid:0090022	split hand-foot malformation 5	ncit	ncit:C75002	Split-Hand/Foot Malformation Type 5	ncit:C75000	Ectrodactyly	0.73
mondo:0004739	urea cycle disorder	ncit	ncit:C115200	Unicentric Castleman Disease	ncit:C84785	Urea Cycle Metabolism Disorder	0.54
ncit:C74996	Joubert Syndrome	mondo	mondo:0008944	Joubert syndrome 1	mondo:0018772	Joubert syndrome	0.57
omim.ps:192500	Long QT syndrome	mondo	mondo:0002442	long QT syndrome	mondo:0019171	familial long QT syndrome	0.7
ncit:C176936	Noonan Syndrome 8	mondo	mondo:0013379	Noonan syndrome 7	mondo:0014143	Noonan syndrome 8	0.58
mondo:0011934	dermatofibrosarcoma protuberans	icd11	icd11:313677538	Dermatofibrosarcoma protuberans, NOS	icd11:1579898301	Dermatofibrosarcoma protuberans	0.54
omim.ps:137800	Glioma	mondo	mondo:0021042	glioma	mondo:0100242	glioma susceptibility	0.51
ncit:C7550	Ovarian Serous Adenocarcinoma	efo	efo:1001516	ovarian serous carcinoma	efo:0002917	ovarian serous adenocarcinoma	0.75
efo:1001998	complex regional pain syndrome	mondo	mondo:0011441	complex regional pain syndrome type 1	mondo:0019369	complex regional pain syndrome	0.85
mondo:0000193	cortisone reductase deficiency	doid	doid:0090140	cortisone reductase deficiency 2	doid:0090139	cortisone reductase deficiency	0.56
efo:0007224	coronavirus infectious disease	doid	doid:0080599	Coronavirus infectious disease	doid:2946	obsolete coronavirus infectious disease	0.94
doid:3234	central nervous system lymphoma	efo	efo:0021516	central nervous system Burkitt lymphoma	efo:1000157	Central Nervous System Lymphoma	0.71
ncit:C129720	Aarskog Syndrome	mondo	mondo:0007030	autosomal dominant Aarskog syndrome	mondo:0010589	Aarskog-Scott syndrome, X-linked	0.57
omim.ps:115200	Dilated cardiomyopathy	mondo	mondo:0005021	dilated cardiomyopathy	mondo:0016333	familial dilated cardiomyopathy	0.51
ncit:C126561	Niemann-Pick Disease, Type A	mondo	mondo:0018982	Niemann-Pick disease type C	mondo:0009756	Niemann-Pick disease type A	0.74
icd11:1931148955	Pulmonary arterial hypertension	mondo	mondo:0001999	primary pulmonary hypertension	mondo:0015924	pulmonary arterial hypertension	0.56
efo:1000142	Brain Stem Glioma	ncit	ncit:C9042	Childhood Brain Stem Glioma	ncit:C8501	Brain Stem Glioma	1.05
efo:0000197	mucinous carcinoma	icd11	icd11:1148888643	Pseudomyxoma peritonei with unknown primary site	icd11:529352875	Mucinous adenocarcinoma	0.52
icd11:1911315646	Hereditary gingival fibromatosis	mondo	mondo:0007609	fibromatosis, gingival, 1	mondo:0016070	hereditary gingival fibromatosis	0.9
mondo:0024890	pineal parenchymal cell neoplasm	ncit	ncit:C8273	Adult Pineal Parenchymal Cell Neoplasm	ncit:C6965	Pineal Parenchymal Cell Neoplasm	1.02
ncit:C133887	Acute Hepatic Porphyria	mondo	mondo:0002520	hepatic porphyria	mondo:0013000	porphyria due to ALA dehydratase deficiency	0.63
gard:6352	Embryonal tumor with multilayered rosettes	mondo	mondo:0016715	ependymoblastoma	mondo:0958119	embryonal tumor with multilayered rosettes	0.5
doid:8743	erythema infectiosum	mondo	mondo:0017453	fetal parvovirus syndrome	mondo:0006544	erythema infectiosum	0.61
doid:8478	actinomycosis	efo	efo:1001122	primary Actinomycetales infectious disease	efo:0007128	actinomycosis	0.65
doid:3437	laryngitis	ncit	ncit:C26688	Acute Laryngitis	ncit:C26811	Laryngitis	0.65
efo:1001399	Pneumonia, Aspiration	doid	doid:0050152	aspiration pneumonia	doid:50152, doid:3240	aspiration pneumonitis, NO_NAME_FOUND	0.74
doid:0060857	septooptic dysplasia	mondo	mondo:0019029	segmental odontomaxillary dysplasia	mondo:0008428	septooptic dysplasia	0.52
icd11:965049946	Laryngeal abductor paralysis	mondo	mondo:0010639	laryngeal abductor paralysis-intellectual disability syndrome	mondo:0007876	laryngeal abductor paralysis	0.55
mondo:0009732	congenital nephrotic syndrome, Finnish type	doid	doid:2590	familial nephrotic syndrome	doid:0080390	nephrotic syndrome type 1	0.63
omim.ps:607594	Immunodeficiency, common variable	mondo	mondo:0011864	immunodeficiency, common variable, 1	mondo:0015517	common variable immunodeficiency	0.5
ncit:C129976	Kleefstra Syndrome	doid	doid:0080597	Kleefstra syndrome	doid:0060352	Kleefstra syndrome 1	0.88
ncit:C34375	Beta Thalassemia	mondo	mondo:0013517	beta-thalassemia HBB/LCRB	mondo:0019402	beta thalassemia	0.86
efo:1000829	bacterial conjunctivitis	icd11	icd11:1527773104	Mucopurulent conjunctivitis	icd11:902481358	Bacterial Conjunctivitis	0.63
mesh:D011906	Rat-Bite Fever	mondo	mondo:0020533	streptobacillary rat-bite fever	mondo:0006941	rat-bite fever	0.64
ncit:C3262	Neoplasm	mondo	mondo:0023370	neoplastic disease or syndrome	mondo:0005070	neoplasm	0.91
omim.ps:105800	Aneurysm, intracranial berry	doid	doid:0080973	intracranial berry aneurysm 10	doid:0060228	intracranial berry aneurysm	0.51
ncit:C162696	Familial Platelet Disorder with Associated Myeloid Malignancy	mondo	mondo:0100083	hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1	mondo:0011071	hereditary thrombocytopenia and hematologic cancer predisposition syndrome	0.58
mondo:0009643	sulfite oxidase deficiency due to molybdenum cofactor deficiency type A	doid	doid:0111165	molybdenum cofactor deficiency	doid:0111164	molybdenum cofactor deficiency type A	0.69
doid:0112026	non-syndromic X-linked intellectual disability 99	mondo	mondo:0010502	intellectual disability, X-linked 99, syndromic, female-restricted	mondo:0010487	intellectual disability, X-linked 99	0.63
mondo:0016575	primary ciliary dyskinesia	ncit	ncit:C84638	Ciliary Motility Defect	ncit:C84797	Kartagener Syndrome	0.58
mondo:0004063	intermediate cell type iris melanoma	ncit	ncit:C174506	Iris Mixed Epithelioid and Spindle Cell Melanoma	ncit:C6101	Iris Intermediate Cell Type Melanoma	0.79
ncit:C26769	Cranial Nerve VII Palsy	doid	doid:12506	Bell's palsy	doid:13934	facial paralysis	0.7
mondo:0010214	xeroderma pigmentosum variant type	doid	doid:0050427	xeroderma pigmentosum	doid:0110847	xeroderma pigmentosum variant type	0.56
mondo:0011224	monomelic amyotrophy	icd11	icd11:1361112896	Monomelic amyotrophy of upper limb	icd11:2090347823	Monomelic amyotrophy	0.67
doid:0060479	Shwachman-Diamond syndrome	mondo	mondo:0044204	Shwachman-Diamond syndrome 1	mondo:0009833	Shwachman-Diamond syndrome	0.65
doid:0070303	multiple epiphyseal dysplasia 1	mondo	mondo:0031481	microcephaly, epilepsy, and diabetes syndrome 1	mondo:0007561	multiple epiphyseal dysplasia type 1	0.63
efo:0007450	poliomyelitis	icd11	icd11:270343310	Sequelae of poliomyelitis	icd11:588527933	Acute poliomyelitis	0.82
mondo:0004210	colonic L-cell glucagon-like peptide producing tumor	doid	doid:7402	L-cell glucagon-like peptide producing tumor	doid:7401	colonic L-cell glucagon-like peptide producing tumor	0.58
ncit:C97168	Ataxic Cerebral Palsy	mondo	mondo:0011548	cerebral palsy, ataxic, autosomal recessive	mondo:0000397	ataxic cerebral palsy	0.71
doid:1712	aortic valve stenosis	ncit	ncit:C197952	Rheumatic Aortic Stenosis	ncit:C50462	Aortic Valve Stenosis	0.94
icd11:241281019	Autoimmune encephalitis	mondo	mondo:0019385	steroid-responsive encephalopathy associated with autoimmune thyroiditis	mondo:0020640	autoimmune encephalitis	0.63
omim.ps:223360	Orthostatic hypotension	mondo	mondo:0007803	multiple system atrophy	mondo:0021272	inherited orthostatic hypotension	0.51
ncit:C26931	Hypogammaglobulinemia	mondo	mondo:0015977	agammaglobulinemia	mondo:0016463	syndromic agammaglobulinemia	0.7
mondo:0005570	hematologic disorder	efo	efo:0010283	blood disease	efo:0005803	hematologic disease	0.56
mondo:0010933	autosomal recessive nonsyndromic hearing loss 4	doid	doid:0050332	enlarged vestibular aqueduct	doid:0110498	autosomal recessive nonsyndromic deafness 4	0.65
orphanet:35696	Mitochondrial disorder due to a defect in mitochondrial protein synthesis	mondo	mondo:0013865	mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency	mondo:0018157	obsolete mitochondrial disorder due to a defect in mitochondrial protein synthesis	0.66
doid:0050646	distal arthrogryposis	orphanet.ordo	orphanet.ordo:1037	Arthrogryposis multiplex congenita	orphanet.ordo:97120, orphanet.ordo:1147	Distal arthrogryposis, Sheldon-Hall syndrome	0.53
ncit:C150603	Citrullinemia Type II	mondo	mondo:0008988	citrullinemia type I	mondo:0016603	citrullinemia type II	0.8
mondo:0007078	pseudohypoparathyroidism type 1A	ncit	ncit:C118434	Albright's Hereditary Osteodystrophy	ncit:C129721	Albright Hereditary Osteodystrophy with Multiple Hormone Resistance	0.74
doid:12930	dilated cardiomyopathy	orphanet.ordo	orphanet.ordo:217607	Familial dilated cardiomyopathy	orphanet.ordo:217604	Dilated cardiomyopathy	0.55
omim.ps:603278	Focal segmental glomerulosclerosis	mondo	mondo:0009724	nail-patella-like renal disease	mondo:0005363	inherited focal segmental glomerulosclerosis	0.51
icd11:1589625540	Chondromalacia patellae	mondo	mondo:0006894	patellofemoral pain syndrome	mondo:0008207	chondromalacia patellae	0.63
icd11:1975732692	Senior-Loken syndrome	mondo	mondo:0009962	Senior-Loken syndrome 1	mondo:0017842	Senior-Loken syndrome	0.78
mondo:0018842	primary effusion lymphoma	ncit	ncit:C7467	Pure Erythroid Leukemia	ncit:C6915	Primary Effusion Lymphoma	0.61
mondo:0032837	abdominal obesity-metabolic syndrome 4	doid	doid:0060612	abdominal obesity-metabolic syndrome 3	doid:0080945	abdominal obesity-metabolic syndrome 4	0.72
doid:4798	aggressive systemic mastocytosis	mondo	mondo:0016586	systemic mastocytosis	mondo:0020333	aggressive systemic mastocytosis	0.58
mondo:0012672	cholelithiasis	icd11	icd11:1762517169	Certain cholelithiasis	icd11:1268183934	Cholelithiasis	0.57
efo:0000564	leiomyosarcoma	ncit	ncit:C8093	Childhood Leiomyosarcoma	ncit:C3158	Leiomyosarcoma	0.72
mondo:0017372	congenital varicella syndrome	icd11	icd11:851814044	Fetal varicella syndrome	icd11:2071159826	Congenital Varicella Zoster virus infection	0.71
doid:0060205	frontotemporal dementia and/or amyotrophic lateral sclerosis 6	mondo	mondo:0011951	amyotrophic lateral sclerosis type 6	mondo:0013501	frontotemporal dementia and/or amyotrophic lateral sclerosis 6	0.96
mondo:0044144	panic disorder with agoraphobia	ncit	ncit:C97193	Panic Disorder without Agoraphobia	ncit:C97194	Panic Disorder with Agoraphobia	0.79
ncit:C3178	Chronic Myelomonocytic Leukemia	efo	efo:1000309	Juvenile Myelomonocytic Leukemia	efo:1001779	chronic myelomonocytic leukemia	0.77
efo:0007351	lymphangitis	icd11	icd11:788007323	Lymphangitis due to unspecified bacteria	icd11:1548743622	Lymphangitis	0.6
efo:1001235	Vibrio infectious disease	doid	doid:1498	cholera	doid:1499	obsolete Vibrio infectious disease	0.7
doid:2945	severe acute respiratory syndrome	mesh	mesh:D000086382	COVID-19	mesh:D045169	Severe Acute Respiratory Syndrome	0.55
omim.ps:121210	Seizures, familial febrile	doid	doid:0111304	familial febrile seizures 10	doid:0111297	familial febrile seizures	0.7
