source identifier	source name	target prefix	predicted identifier	predicted name	true identifier	true name	confidence
orphanet.ordo:228145	Multiple sclerosis variant	mondo	mondo:0005301	multiple sclerosis	mondo:0016428	obsolete multiple sclerosis variant	0.76
ncit:C129875	Chromosome 16p12.1 Deletion Syndrome	doid	doid:0060400	chromosome 16p12.2-p11.2 deletion syndrome	doid:0060399	chromosome 16p12.1 deletion syndrome	0.59
orphanet.ordo:73014	Intractable diarrhea of infancy	mondo	mondo:0009635	microvillus inclusion disease	mondo:0019126	obsolete intractable diarrhea of infancy	0.56
orphanet.ordo:35125	Epidermal nevus syndrome	mondo	mondo:0008097	linear nevus sebaceous syndrome	mondo:0018115	epidermal nevus syndrome	0.52
mondo:0100488	CDH1-related diffuse gastric and lobular breast cancer syndrome	doid	doid:0080764	hereditary diffuse gastric cancer	doid:0080763	diffuse gastric cancer	0.57
orphanet.ordo:2248	Hypoplastic left heart syndrome	mondo	mondo:0009433	hypoplastic left heart syndrome 1	mondo:0004933	hypoplastic left heart syndrome	0.55
orphanet.ordo:509	Leptospirosis	icd10	icd10:A27	Leptospirosis	icd10:A27.9, icd10:A27.0, icd10:A27.8	""	0.5
mesh:D002180	Candidiasis, Oral	ncit	ncit:C26711	Candidiasis	ncit:C28137	Oral Candidiasis	0.59
orphanet.ordo:79405	Junctional epidermolysis bullosa inversa	mondo	mondo:0009180	junctional epidermolysis bullosa, non-Herlitz type	mondo:0019308	junctional epidermolysis bullosa inversa	0.75
orphanet.ordo:791	Retinitis pigmentosa	mondo	mondo:0008379	retinitis pigmentosa 10	mondo:0019200	retinitis pigmentosa	0.53
mondo:0018935	hairy cell leukemia	orphanet.ordo	orphanet.ordo:300878	Hairy cell leukemia variant	orphanet.ordo:58017	Classic hairy cell leukemia	0.52
omim.ps:194070	Wilms tumor	ncit	ncit:C3267	Wilms Tumor	ncit:C8496	Hereditary Kidney Wilms Tumor	0.7
orphanet.ordo:63269	Antley-Bixler syndrome with genital anomaly and disorder of steroidogenesis	mondo	mondo:0020667	Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis	mondo:0008726	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis	0.61
orphanet.ordo:73260	Paracoccidioidomycosis	icd10	icd10:B41	Paracoccidioidomycosis	icd10:B41.7, icd10:B41.9, icd10:B41.8, icd10:B41.0	""	0.5
ncit:C126408	Thyroid Gland Cribriform Morular Carcinoma	mondo	mondo:0009055	cutis marmorata telangiectatica congenita	mondo:0971034	thyroid gland cribriform morular carcinoma	0.54
orphanet.ordo:735	Porokeratosis of Mibelli	mondo	mondo:0008290	porokeratosis 1, Mibelli type	mondo:0019141	porokeratosis of Mibelli	0.75
orphanet.ordo:3323	Braddock-Carey syndrome	mondo	mondo:0031646	Braddock-Carey syndrome	mondo:0018046	thrombocytopenia-Robin sequence syndrome	0.73
mondo:0016218	Guillain-Barre syndrome	orphanet.ordo	orphanet.ordo:231413	Variant of Guillain-Barré syndrome	orphanet.ordo:2103	Guillain-Barré syndrome	0.57
mondo:0016281	46,XX ovotesticular disorder of sex development	orphanet.ordo	orphanet.ordo:325345	46,XY ovotesticular difference of sex development	orphanet.ordo:2138	46,XX ovotesticular difference of sex development	0.65
mondo:0016358	limited cutaneous systemic sclerosis	orphanet.ordo	orphanet.ordo:220407	Limited systemic sclerosis	orphanet.ordo:220402	Limited cutaneous systemic sclerosis	0.52
doid:3587	pancreatic ductal carcinoma	ncit	ncit:C95505	Pancreatic Intraductal Neoplasm	ncit:C9120	Pancreatic Ductal Adenocarcinoma	0.47
mondo:0014285	congenital dyserythropoietic anemia type type 1B	orphanet.ordo	orphanet.ordo:98870	Congenital dyserythropoietic anemia type III	orphanet.ordo:98869	Congenital dyserythropoietic anemia type I	0.53
mesh:D014382	Tuberculosis, Cutaneous	mondo	mondo:0021948	cutaneous tuberculosis	mondo:0021498	benign neoplasm of placenta	0.87
orphanet.ordo:654	Nephroblastoma	ncit	ncit:C40407	Kidney Wilms Tumor	ncit:C3267	Wilms Tumor	0.55
mesh:D001474	Bartonella Infections	ncit	ncit:C128441	Carrión Disease	ncit:C84586	Bartonella Infection	0.68
orphanet.ordo:915	Aarskog-Scott syndrome	mondo	mondo:0007030	autosomal dominant Aarskog syndrome	mondo:0021005	faciodigitogenital syndrome	0.79
mondo:0044705	paranasal sinus squamous cell carcinoma	doid	doid:2441	frontal sinus squamous cell carcinoma	doid:0050619	paranasal sinus cancer	0.62
orphanet.ordo:75382	Oguchi disease	doid	doid:0110712	Oguchi disease-1	doid:0050534, doid:8498	hereditary night blindness, congenital stationary night blindness	0.5
orphanet.ordo:35698	Mitochondrial DNA depletion syndrome	mondo	mondo:0008922	Sengers syndrome	mondo:0018158	mitochondrial DNA depletion syndrome	0.86
mondo:0008516	syndactyly type 5	orphanet.ordo	orphanet.ordo:93402	Syndactyly type 1	orphanet.ordo:93406	Syndactyly type 5	0.62
mondo:0015405	cerebrofacial arteriovenous metameric syndrome	orphanet.ordo	orphanet.ordo:141194	Cerebrofacial arteriovenous metameric syndrome type 1	orphanet.ordo:141189	Cerebrofacial arteriovenous metameric syndrome	0.53
orphanet.ordo:888	Van der Woude syndrome	mondo	mondo:0007333	van der Woude syndrome 1	mondo:0019508	van der Woude syndrome	0.63
mondo:0013272	chromosome 14q11-q22 deletion syndrome	orphanet.ordo	orphanet.ordo:261229	14q11.2 microduplication syndrome	orphanet.ordo:261120	14q11.2 microdeletion syndrome	0.6
orphanet.ordo:595098	Timothy syndrome type 1	mondo	mondo:0035679	Timothy syndrome type 2	mondo:0035678	Timothy syndrome type 1	0.61
orphanet.ordo:79489	Macrocystic lymphatic malformation	mondo	mondo:0009761	cystic hygroma	mondo:0019328	macrocystic lymphatic malformation	0.54
orphanet.ordo:1646	Chromosome Y microdeletion syndrome	mondo	mondo:0042605	Y chromosome infertility due to DAZ1 deletion	mondo:0015607	partial chromosome Y deletion	0.58
mondo:0021651	synpolydactyly	orphanet.ordo	orphanet.ordo:93338	Polysyndactyly	orphanet.ordo:93403	Syndactyly type 2	0.76
efo:1000946	gastric mucosal hypertrophy	orphanet.ordo	orphanet.ordo:329883	Non-hypoproteinemic hypertrophic gastropathy	orphanet.ordo:2494	Ménétrier disease	0.55
orphanet.ordo:363203	Ring chromosome syndrome	mondo	mondo:0015431	ring chromosome 10	mondo:0018186	obsolete ring chromosome	0.56
orphanet.ordo:79382	Subcutaneous tissue disease	mondo	mondo:0006591	panniculitis	mondo:0019296	subcutaneous tissue disorder	0.57
efo:0000717	systemic scleroderma	orphanet.ordo	orphanet.ordo:801	Scleroderma	orphanet.ordo:90291	Systemic sclerosis	0.55
orphanet.ordo:576370	Variant Creutzfeldt-Jakob disease	mondo	mondo:0005357	Creutzfeldt Jacob disease	mondo:0007012	variant Creutzfeldt-Jakob disease	0.54
mondo:0020531	long chain acyl-CoA dehydrogenase deficiency	orphanet.ordo	orphanet.ordo:26793	Very long chain acyl-CoA dehydrogenase deficiency	orphanet.ordo:99900	Long chain acyl-CoA dehydrogenase deficiency	0.68
orphanet.ordo:2495	Meningioma	ncit	ncit:C8264	Childhood Meningioma	ncit:C3230, ncit:C6971	Meningothelial Cell Neoplasm, Meningioma	0.56
orphanet.ordo:514	Acute monoblastic/monocytic leukemia	ncit	ncit:C7319	Adult Acute Monoblastic and Monocytic Leukemia	ncit:C4861	Acute Monocytic Leukemia	0.74
mondo:0019152	Oguchi disease	doid	doid:0110713	Oguchi disease-2	doid:8498, doid:0050534	hereditary night blindness, congenital stationary night blindness	0.74
mondo:0015541	hereditary hemophagocytic lymphohistiocytosis	orphanet.ordo	orphanet.ordo:158038	Primary hemophagocytic lymphohistiocytosis	orphanet.ordo:540	Familial hemophagocytic lymphohistiocytosis	0.85
orphanet.ordo:98641	Syndromic cataract	mondo	mondo:0005129	cataract	mondo:0020225	obsolete syndromic cataract	0.44
mondo:0015131	combined immunodeficiency	orphanet.ordo	orphanet.ordo:331217	Syndrome with combined immunodeficiency	orphanet.ordo:101972	Combined T and B cell immunodeficiency	0.56
orphanet.ordo:324761	Microcephalic primordial dwarfism	mondo	mondo:0008869	Seckel syndrome 1	mondo:0017950	obsolete microcephalic primordial dwarfism	0.63
orphanet.ordo:26791	Multiple acyl-CoA dehydrogenase deficiency	mondo	mondo:1010715	multiple acyl-CoA dehydrogenase deficiency, horse	mondo:0009282	multiple acyl-CoA dehydrogenase deficiency	0.53
orphanet.ordo:439246	ABeta2M amyloidosis	mondo	mondo:0017810	variant ABeta2M amyloidosis	mondo:0018590	ABeta2M amyloidosis	0.75
orphanet.ordo:97242	Congenital muscular dystrophy	mondo	mondo:0013178	congenital muscular dystrophy due to LMNA mutation	mondo:0019950	congenital muscular dystrophy	0.84
mondo:0011694	spinocerebellar ataxia type 15/16	orphanet.ordo	orphanet.ordo:98770	Spinocerebellar ataxia type 16	orphanet.ordo:98769	Spinocerebellar ataxia type 15/16	0.81
orphanet.ordo:2290	Microvillus inclusion disease	mondo	mondo:1010546	microvillus inclusion disease, pig	mondo:0009635	microvillus inclusion disease	0.56
orphanet.ordo:2102	GTP cyclohydrolase I deficiency	mondo	mondo:0100184	GTP cyclohydrolase I deficiency	mondo:0100186	GTP cyclohydrolase I deficiency with hyperphenylalaninemia	0.82
ncit:C165500	Spinocerebellar Ataxia, Autosomal Recessive, with Axonal Neuropathy 2	doid	doid:0070465	spinocerebellar ataxia with axonal neuropathy type 3	doid:0050755	spinocerebellar ataxia with axonal neuropathy 2	0.7
orphanet.ordo:99829	Yellow fever	icd10	icd10:A95	Yellow fever	icd10:A95.0, icd10:A95.1, icd10:A95.9	""	0.5
orphanet.ordo:1427	Autosomal recessive otospondylomegaepiphyseal dysplasia	mondo	mondo:0044206	otospondylomegaepiphyseal dysplasia, autosomal recessive	mondo:0008975	otospondylomegaepiphyseal dysplasia	0.56
orphanet.ordo:404481	Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome	mondo	mondo:0012612	intellectual disability, autosomal recessive 12	mondo:0018446	autosomal recessive cerebellar ataxia - epilepsy - intellectual disability syndrome	0.53
mondo:0015667	acute myeloid leukemia by FAB classification	orphanet.ordo	orphanet.ordo:519	Acute myeloid leukemia	orphanet.ordo:167714	Unclassified acute myeloid leukemia	0.78
doid:2468	psychotic disorder	ncit	ncit:C94390	Brief Psychotic Disorder	ncit:C78576, ncit:C2893	Psychosis, Psychiatric Disorder	0.56
orphanet.ordo:3403	Uhl anomaly	mondo	mondo:0007152	arrhythmogenic right ventricular dysplasia 1	mondo:0018084	Uhl anomaly	0.59
efo:1000894	dermoid cyst	mondo	mondo:0956962	benign teratoma	mondo:0002378	dermoid cyst	0.86
mondo:0011517	pseudohyperaldosteronism type 2	orphanet.ordo	orphanet.ordo:404	Familial hyperaldosteronism type II	orphanet.ordo:88660	Hypertension due to gain-of-function mutations in the mineralocorticoid receptor	0.55
orphanet.ordo:47045	Familial cold urticaria	mondo	mondo:0007349	familial cold autoinflammatory syndrome 1	mondo:0018768	familial cold autoinflammatory syndrome	0.61
orphanet.ordo:65285	Lhermitte-Duclos disease	mondo	mondo:0008021	Cowden syndrome 1	mondo:0019002	Lhermitte-Duclos disease	0.66
orphanet.ordo:1465	Coffin-Siris syndrome	mondo	mondo:0032791	Coffin-Siris syndrome 10	mondo:0015452	Coffin-Siris syndrome	0.6
mesh:D014201	Trematode Infections	ncit	ncit:C128388	Fasciolopsiasis	ncit:C128390	Metagonimiasis	0.61
mondo:0014165	multiple congenital anomalies-hypotonia-seizures syndrome 3	orphanet.ordo	orphanet.ordo:300496	Multiple congenital anomalies-hypotonia-seizures syndrome type 2	orphanet.ordo:369837	Intellectual disability-seizures-hypophosphatasia-ophthalmic-skeletal anomalies syndrome	0.67
orphanet.ordo:98990	Coralliform cataract	mondo	mondo:0007282	cataract 29	mondo:0020375	obsolete coralliform cataract	0.6
orphanet.ordo:33069	Dravet syndrome	mondo	mondo:0100135	Dravet syndrome	mondo:0011794	obsolete Dravet syndrome	0.66
orphanet.ordo:419	Hyperprolinemia type 1	mondo	mondo:0023419	hyperprolinemia	mondo:0009400	hyperprolinemia type 1	0.56
orphanet.ordo:98768	Spinocerebellar ataxia type 13	mondo	mondo:0013905	autosomal recessive spinocerebellar ataxia 13	mondo:0011529	spinocerebellar ataxia type 13	0.56
mondo:0020526	acute megakaryoblastic leukemia in down syndrome	orphanet.ordo	orphanet.ordo:329469	Acute megakaryoblastic leukemia in children without Down syndrome	orphanet.ordo:99887	Acute megakaryoblastic leukemia in children with Down syndrome	0.59
orphanet.ordo:1949	Self-limited neonatal epilepsy	mondo	mondo:0800479	self-limited neonatal seizures	mondo:0016027	benign neonatal seizures	0.53
orphanet.ordo:98820	Familial focal epilepsy with variable foci	mondo	mondo:0024556	epilepsy, familial focal, with variable foci 1	mondo:0020310	familial focal epilepsy with variable foci	0.85
orphanet.ordo:268936	Isolated arhinencephaly	mondo	mondo:0009349	holoprosencephaly 1	mondo:0968959	isolated arhinencephaly	0.64
mesh:D000068116	Gender Dysphoria	doid	doid:1234	gender incongruence	doid:10919	gender incongruence	0.58
doid:8850	salivary gland cancer	ncit	ncit:C9272	Salivary Gland Carcinoma	ncit:C3361, ncit:C3811	Salivary Gland Neoplasm, Malignant Salivary Gland Neoplasm	0.86
orphanet.ordo:99054	Valvular pulmonary stenosis	mondo	mondo:0017865	congenital pulmonary valve stenosis	mondo:0020395	valvar pulmonary stenosis	0.72
orphanet.ordo:440437	Familial colorectal cancer Type X	mondo	mondo:0023113	familial colorectal cancer	mondo:0018604	familial colorectal cancer type X	0.61
orphanet.ordo:595105	Timothy syndrome type 2	mondo	mondo:0035678	Timothy syndrome type 1	mondo:0035679	Timothy syndrome type 2	0.61
mesh:D017733	Leukoplakia, Hairy	ncit	ncit:C3886	Leukoplakia of Tongue	ncit:C3722	Oral Cavity Hairy Leukoplakia	0.48
orphanet.ordo:231413	Variant of Guillain-Barré syndrome	mondo	mondo:0016218	Guillain-Barre syndrome	mondo:0016493	obsolete variant of Guillain-Barre syndrome	0.57
orphanet.ordo:506060	Functioning neuroendocrine tumor of pancreas	ncit	ncit:C45841	Functioning Pancreatic Neuroendocrine Tumor G2	ncit:C45840	Functioning Pancreatic Neuroendocrine Tumor	0.65
mondo:0035679	Timothy syndrome type 2	orphanet.ordo	orphanet.ordo:595098	Timothy syndrome type 1	orphanet.ordo:595105	Timothy syndrome type 2	0.61
orphanet.ordo:238468	Hypohidrotic ectodermal dysplasia	ncit	ncit:C176826	Ectodermal Dysplasia and Immunodeficiency 2	ncit:C84562	Anhidrotic Ectodermal Dysplasia 1	0.57
orphanet.ordo:540	Familial hemophagocytic lymphohistiocytosis	mondo	mondo:0009974	familial hemophagocytic lymphohistiocytosis type 1	mondo:0015541	hereditary hemophagocytic lymphohistiocytosis	0.55
orphanet.ordo:67045	X-linked intellectual disability with isolated growth hormone deficiency	mondo	mondo:0010252	intellectual disability, X-linked, with panhypopituitarism	mondo:0019032	X-linked intellectual disability with isolated growth hormone deficiency	0.72
orphanet.ordo:98976	Congenital glaucoma	mondo	mondo:0020366	congenital glaucoma	mondo:0009277	glaucoma 3A	0.65
orphanet.ordo:549	Legionnaires disease	efo	efo:0007342	legionellosis	efo:0007343	Legionnaires' disease	0.87
orphanet.ordo:98154	Paternal uniparental disomy syndrome	mondo	mondo:0016852	paternal uniparental disomy of chromosome X	mondo:0020057	obsolete uniparental disomy of paternal origin	0.58
mondo:0013691	Feingold syndrome type 2	orphanet.ordo	orphanet.ordo:391641	Feingold syndrome type 1	orphanet.ordo:391646	Feingold syndrome type 2	0.63
orphanet.ordo:543	Burkitt lymphoma	ncit	ncit:C9095	Childhood Burkitt Lymphoma	ncit:C2912	Burkitt Lymphoma	0.73
mondo:0008695	chorea-acanthocytosis	orphanet.ordo	orphanet.ordo:263440	Neuroacanthocytosis	orphanet.ordo:2388	Choreoacanthocytosis	0.69
orphanet.ordo:178566	Mycosis fungoides and variants	mondo	mondo:0009691	mycosis fungoides	mondo:0015821	mycosis fungoides and variants	0.87
mondo:0010214	xeroderma pigmentosum variant type	orphanet.ordo	orphanet.ordo:910	Xeroderma pigmentosum	orphanet.ordo:90342	Xeroderma pigmentosum variant	0.81
orphanet.ordo:499009	Congenital syphilis	icd10	icd10:A50	Congenital syphilis	icd10:A50.6, icd10:A50.4, icd10:A50.5, icd10:A50.1, icd10:A50.2, icd10:A50.3, icd10:A50.0	""	0.5
orphanet.ordo:1546	Cryptococcosis	icd10	icd10:B45	Cryptococcosis	icd10:B45.7, icd10:B45.0, icd10:B45.1, icd10:B45.3, icd10:B45.2, icd10:B45.8, icd10:B45.9	""	0.5
orphanet.ordo:229	Familial aortic dissection	mondo	mondo:0019625	familial thoracic aortic aneurysm and aortic dissection	mondo:0024559	aortic aneurysm, familial thoracic 1	0.66
orphanet.ordo:80	Antiphospholipid syndrome	mondo	mondo:0017278	autoimmune polyendocrinopathy	mondo:8000010	antiphospholipid syndrome	0.57
ncit:C127907	Endocervical Adenocarcinoma, Usual-Type	doid	doid:8340	endocervical type cervical mucinous adenocarcinoma	doid:0050940	endocervical adenocarcinoma	1.03
mondo:0010639	laryngeal abductor paralysis-intellectual disability syndrome	orphanet.ordo	orphanet.ordo:2808	Laryngeal abductor paralysis	orphanet.ordo:2375	Laryngeal abductor paralysis-intellectual disability syndrome	0.9
orphanet.ordo:157820	Cold-induced sweating syndrome	mondo	mondo:0012467	cold-induced sweating syndrome 2	mondo:0015526	cold-induced sweating syndrome	0.52
orphanet.ordo:79224	Disorder of purine or pyrimidine metabolism	icd10	icd10:E79	Disorders of purine and pyrimidine metabolism	icd10:E79.9, icd10:E79.0, icd10:E79.1, icd10:E79.8	""	1.02
mondo:0021355	neoplasm of esophagus	doid	doid:13186	megaesophagus	doid:5041	esophageal cancer	0.46
orphanet.ordo:217607	Familial dilated cardiomyopathy	mondo	mondo:0010951	dilated cardiomyopathy 1B	mondo:0016333	familial dilated cardiomyopathy	0.82
ncit:C2878	Anxiety Disorder	mesh	mesh:D001007	Anxiety	mesh:D001008	Anxiety Disorders	0.53
mondo:0015129	chronic primary adrenal insufficiency	orphanet.ordo	orphanet.ordo:85138	Addison disease	orphanet.ordo:101959	Chronic primary adrenal insufficiency	0.58
orphanet.ordo:3399	Germ cell tumor	mondo	mondo:0005040	germ cell tumor	mondo:0018080	obsolete rare germ cell tumor	0.76
doid:4876	trachea carcinoma	ncit	ncit:C7527	Malignant Superior Sulcus Neoplasm	ncit:C9347	Tracheal Carcinoma	0.6
mondo:0019509	cutaneous leukocytoclastic angiitis	efo	efo:1000784	microscopic polyangiitis	efo:1000974	hypersensitivity vasculitis	0.88
orphanet.ordo:98274	Myeloproliferative neoplasm	efo	efo:0004251	myeloproliferative disorder	efo:0002428	chronic myeloproliferative disorder	0.87
mondo:0018633	20q11.2 microdeletion syndrome	orphanet.ordo	orphanet.ordo:363659	20q11.2 microduplication syndrome	orphanet.ordo:444051	20q11.2 microdeletion syndrome	0.62
orphanet.ordo:391651	Glomus tumor	mondo	mondo:0021064	jugulotympanic paraganglioma	mondo:0018327	glomus tumor	0.55
orphanet.ordo:208513	Spinocerebellar ataxia type 29	mondo	mondo:0030312	spinocerebellar ataxia, autosomal recessive 29	mondo:0007298	spinocerebellar ataxia type 29	0.52
orphanet.ordo:404553	Adenosine deaminase 2 deficiency	mondo	mondo:0100317	deficiency of adenosine deaminase 2	mondo:0014306	vasculitis due to ADA2 deficiency	0.79
mondo:0019989	pauci-immune glomerulonephritis without ANCA	orphanet.ordo	orphanet.ordo:97563	Pauci-immune glomerulonephritis with ANCA	orphanet.ordo:97564	Pauci-immune glomerulonephritis without ANCA	0.72
orphanet.ordo:631	Non-acquired isolated growth hormone deficiency	mondo	mondo:0009876	isolated growth hormone deficiency type IA	mondo:0000050	isolated congenital growth hormone deficiency	0.83
mondo:0017284	Xp22.13p22.2 duplication syndrome	orphanet.ordo	orphanet.ordo:1643	Xp22.3 microdeletion syndrome	orphanet.ordo:284180	Xp22.13p22.2 duplication syndrome	0.81
orphanet.ordo:2808	Laryngeal abductor paralysis	mondo	mondo:0010639	laryngeal abductor paralysis-intellectual disability syndrome	mondo:0007876	laryngeal abductor paralysis	0.9
omim.ps:165500	Optic atrophy	ncit	ncit:C34863	Optic Atrophy	ncit:C34864	Hereditary Optic Atrophy	0.7
orphanet.ordo:1934	Early infantile epileptic encephalopathy	mondo	mondo:0013254	microcephaly, seizures, and developmental delay	mondo:0100062	developmental and epileptic encephalopathy	0.56
orphanet.ordo:659681	Erythropoietic porphyria	mondo	mondo:0009902	cutaneous porphyria	mondo:0001676	erythropoietic protoporphyria	0.68
orphanet.ordo:294963	Popliteal pterygium syndrome	mondo	mondo:0007334	autosomal dominant popliteal pterygium syndrome	mondo:0017435	popliteal pterygium syndrome	0.85
doid:8991	cervix uteri carcinoma in situ	ncit	ncit:C7347	Cervical Squamous Cell Carcinoma In Situ	ncit:C4000	Stage 0 Cervical Cancer AJCC v6	0.67
efo:1000638	Isaacs syndrome	orphanet.ordo	orphanet.ordo:84142	Isaacs syndrome	orphanet.ordo:211062	Hereditary episodic ataxia	0.93
mondo:0018066	trisomy X	orphanet.ordo	orphanet.ordo:869	Triple A syndrome	orphanet.ordo:3375	Trisomy X	0.62
orphanet.ordo:79161	Disorder of carbohydrate metabolism	mondo	mondo:0037792	carbohydrate metabolism disease	mondo:0019214	inborn carbohydrate metabolic disorder	0.59
orphanet.ordo:98823	Chronic myelomonocytic leukemia	efo	efo:1000309	Juvenile Myelomonocytic Leukemia	efo:1001779	chronic myelomonocytic leukemia	0.53
ncit:C125390	Episodic Pain Syndrome, Familial, 3	orphanet.ordo	orphanet.ordo:391384	Familial episodic pain syndrome	orphanet.ordo:391392	Familial episodic pain syndrome with predominantly lower limb involvement	0.75
mondo:0011457	ataxia-telangiectasia-like disorder	doid	doid:0081385	ataxia-telangiectasia-like disorder-2	doid:0081384	ataxia-telangiectasia-like disorder-1	0.64
orphanet.ordo:254688	Complete hydatidiform mole	mondo	mondo:0013671	hydatidiform mole, recurrent, 2	mondo:0016785	complete hydatidiform mole	0.51
orphanet.ordo:441	Pure autonomic failure	mondo	mondo:0007803	multiple system atrophy	mondo:0018608	pure autonomic failure	0.53
orphanet.ordo:449266	Pleural empyema	ncit	ncit:C34572	Empyema	ncit:C45692	Pyothorax	0.85
orphanet.ordo:280633	Multiple congenital anomalies-hypotonia-seizures syndrome	mondo	mondo:0100247	multiple congenital anomalies-hypotonia-seizures syndrome	mondo:0013563	multiple congenital anomalies-hypotonia-seizures syndrome 1	0.78
orphanet.ordo:75377	Central areolar choroidal dystrophy	mondo	mondo:0024539	choroidal dystrophy, central areolar, 1	mondo:0008982	central areolar choroidal dystrophy	0.54
orphanet.ordo:2985	Pseudoprogeria syndrome	mondo	mondo:0020732	progeria	mondo:0008694	pseudoprogeria syndrome	0.52
orphanet.ordo:157832	Craniorhiny	mondo	mondo:0008385	rhiny	mondo:0007398	craniorhiny	0.79
mesh:D016532	Mucopolysaccharidosis II	ncit	ncit:C61259	Mucopolysaccharidosis	ncit:C61260	Hunter Syndrome	0.66
orphanet.ordo:97245	Congenital myopathy	mondo	mondo:0009710	Thomsen and Becker disease	mondo:0019952	congenital myopathy	0.78
mondo:0017746	atypical Rett syndrome	orphanet.ordo	orphanet.ordo:778	Rett syndrome	orphanet.ordo:3095	Atypical Rett syndrome	0.7
icd10:A38	Scarlet fever	orphanet.ordo	orphanet.ordo:688995	Scarlet fever	orphanet.ordo:36235	Staphylococcal scarlet fever	0.77
mondo:0044791	combined hepatocellular carcinoma and cholangiocarcinoma	orphanet.ordo	orphanet.ordo:424936	Carcinoma of liver and intrahepatic biliary tract	orphanet.ordo:529852	Combined hepatocellular carcinoma and cholangiocarcinoma	0.61
mesh:D012899	Smallpox	ncit	ncit:C34365	Alastrim	ncit:C35027	Smallpox	0.71
orphanet.ordo:757	Pseudohypoaldosteronism type 2	mondo	mondo:0007772	pseudohypoaldosteronism type 2A	mondo:0019162	pseudohypoaldosteronism type 2	0.66
doid:0050741	alcohol dependence	mesh	mesh:D000437	Alcoholism	mesh:D000435	Alcoholic Intoxication	0.84
orphanet.ordo:97238	Rippling muscle disease	mondo	mondo:0011634	rippling muscle disease	mondo:0019947	rippling muscle disease 2	0.75
