source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	source	confidence
icd11	icd11:361285299	Spirillum minus	skos:exactMatch	ncbitaxon	ncbitaxon:967	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
ncbitaxon	ncbitaxon:234	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1785213202	Brucella	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
ncbitaxon	ncbitaxon:632	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1159128978	Yersinia pestis	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
mondo	mondo:0019934	polyploidy	skos:exactMatch	pato	pato:0001377	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.57
ncbitaxon	ncbitaxon:291484	NO_NAME_FOUND	skos:exactMatch	doid	doid:4411	hepatitis E	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
omim.ps	omim.ps:219080	NO_NAME_FOUND	skos:exactMatch	doid	doid:0111622	ACTH-independent macronodular adrenal hyperplasia	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
icd11	icd11:2081775587	Decrease in pressure	skos:exactMatch	pato	pato:0001575	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
ncbitaxon	ncbitaxon:712	NO_NAME_FOUND	skos:exactMatch	efo	efo:1001386	Pasteurellaceae Infections	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
ncbitaxon	ncbitaxon:5758	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1038855312	Entamoeba	semapv:SemanticSimilarityThresholdMatching	logmap	0.83
ncbitaxon	ncbitaxon:1760	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2116096692	Actinomyces	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
icd11	icd11:1624389950	Parapox virus	skos:exactMatch	ncbitaxon	ncbitaxon:10257	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
chr	chr:9606-chr12p12.1	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0017781	12p12.1 microdeletion syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
ncbitaxon	ncbitaxon:10407	NO_NAME_FOUND	skos:exactMatch	efo	efo:0004197	hepatitis B virus infection	semapv:SemanticSimilarityThresholdMatching	logmap	0.61
ncbitaxon	ncbitaxon:1351	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1973549214	Enterococcus faecalis	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
icd11	icd11:1364553059	Mycobacterium avium complex	skos:exactMatch	ncbitaxon	ncbitaxon:37162	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.59
doid	doid:0111622	ACTH-independent macronodular adrenal hyperplasia	skos:exactMatch	omim.ps	omim.ps:219080	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
ncbitaxon	ncbitaxon:38323	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1610641134	Bartonella henselae	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
icd11	icd11:97328296	Macrophages	skos:exactMatch	cl	cl:0000235	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
omim.ps	omim.ps:151623	NO_NAME_FOUND	skos:exactMatch	orphanet.ordo	orphanet.ordo:524	Li-Fraumeni syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
ncit	ncit:C53649	Cytomegaloviral Infection	skos:exactMatch	ncbitaxon	ncbitaxon:10358	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.6
icd11	icd11:1069694927	Anaplasma phagocytophilum	skos:exactMatch	ncbitaxon	ncbitaxon:948	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
chr	chr:9606-chrXq12-q13.3	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0017794	Xq12-q13.3 duplication syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
doid	doid:12205	dengue disease	skos:exactMatch	ncbitaxon	ncbitaxon:12637	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.37
icd11	icd11:659485056	Betaherpesvirinae	skos:exactMatch	ncbitaxon	ncbitaxon:10357	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:42862	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1099051844	Rickettsia felis	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
nbo	nbo:0000073	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1389818830	Chewing	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
ncbitaxon	ncbitaxon:6333	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1124840333	Trichinella	semapv:SemanticSimilarityThresholdMatching	logmap	0.87
nbo	nbo:0000339	NO_NAME_FOUND	skos:exactMatch	mesh	mesh:D009048	Motor Skills	semapv:SemanticSimilarityThresholdMatching	logmap	0.32
ncbitaxon	ncbitaxon:32008	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:718893335	Burkholderia	semapv:SemanticSimilarityThresholdMatching	logmap	0.83
icd11	icd11:1292092042	Escherichia coli	skos:exactMatch	ncbitaxon	ncbitaxon:562	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.82
envo	envo:00000063	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1607276467	Body of water	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
ncbitaxon	ncbitaxon:47466	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1390983217	Borrelia miyamotoi	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
icd11	icd11:205190346	Paragonimus westermani	skos:exactMatch	ncbitaxon	ncbitaxon:34504	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
cl	cl:0000576	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:128017722	Monocytes	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
icd11	icd11:1968061860	Li-Fraumeni syndrome	skos:exactMatch	omim.ps	omim.ps:151623	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
ncbitaxon	ncbitaxon:5807	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:979767041	Cryptosporidium parvum	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:1964711990	Campylobacter	skos:exactMatch	ncbitaxon	ncbitaxon:194	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
icd11	icd11:1429960002	Lymphocytes	skos:exactMatch	cl	cl:0000542	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
icd11	icd11:1463986285	Venezuelan equine encephalitis virus	skos:exactMatch	ncbitaxon	ncbitaxon:11036	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
icd11	icd11:1426129825	Forest	skos:exactMatch	envo	envo:01001243	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
icd11	icd11:35921102	Poliovirus	skos:exactMatch	ncbitaxon	ncbitaxon:12086	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.66
icd11	icd11:667392090	Onchocerca volvulus	skos:exactMatch	ncbitaxon	ncbitaxon:6282	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.9
ogms	ogms:0000031	NO_NAME_FOUND	skos:exactMatch	orphanet.ordo	orphanet.ordo:377788	disease	semapv:SemanticSimilarityThresholdMatching	logmap	0.5
ncbitaxon	ncbitaxon:6202	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:853891410	Taenia	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
ncbitaxon	ncbitaxon:6210	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:310514894	Echinococcus granulosus	semapv:SemanticSimilarityThresholdMatching	logmap	0.81
ncbitaxon	ncbitaxon:781	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1354830644	Rickettsia conorii	semapv:SemanticSimilarityThresholdMatching	logmap	0.81
ncbitaxon	ncbitaxon:12083	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:35921102	Poliovirus	semapv:SemanticSimilarityThresholdMatching	logmap	0.66
ncbitaxon	ncbitaxon:10255	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2056587240	Variola virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
icd11	icd11:221037142	Eosinophils	skos:exactMatch	cl	cl:0000771	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.82
ncbitaxon	ncbitaxon:570	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1889951404	Klebsiella	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
pato	pato:0002362	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C117245	Decreased Attention	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
icd11	icd11:1526491884	Chlamydia trachomatis	skos:exactMatch	ncbitaxon	ncbitaxon:813	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
icd11	icd11:342190642	Gamete	skos:exactMatch	cl	cl:0000300	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.83
envo	envo:01000951	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1684782550	Natural material	semapv:SemanticSimilarityThresholdMatching	logmap	0.28
mesh	mesh:D012026	Reflex, Stretch	skos:exactMatch	nbo	nbo:0000404	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.88
ncbitaxon	ncbitaxon:543	NO_NAME_FOUND	skos:exactMatch	efo	efo:1001313	Enterobacteriaceae Infections	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
mondo	mondo:0019934	polyploidy	skos:exactMatch	so	so:0001254	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.57
ncbitaxon	ncbitaxon:517	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:509021347	Bordetella	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
ncbitaxon	ncbitaxon:519	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1601172836	Bordetella parapertussis	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
pato	pato:0000387	NO_NAME_FOUND	skos:exactMatch	mondo	mondo:0013894	short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
mfomd	mfomd:0000107	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1682814866	Compulsions	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
icd11	icd11:1404759305	Dracunculus medinensis	skos:exactMatch	ncbitaxon	ncbitaxon:318479	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.81
icd11	icd11:1514454773	Penicillium	skos:exactMatch	ncbitaxon	ncbitaxon:5073	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.84
doid	doid:13272	Klebsiella pneumonia	skos:exactMatch	ncbitaxon	ncbitaxon:573	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
icd11	icd11:1042194477	Rickettsia typhi	skos:exactMatch	ncbitaxon	ncbitaxon:785	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:6282	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:667392090	Onchocerca volvulus	semapv:SemanticSimilarityThresholdMatching	logmap	0.9
ncbitaxon	ncbitaxon:1789	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1520758575	Mycobacterium xenopi	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:12967	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1780340400	Blastocystis	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
doid	doid:10933	obsessive-compulsive disorder	skos:exactMatch	nbo	nbo:0000248	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
nbo	nbo:0001845	NO_NAME_FOUND	skos:exactMatch	mesh	mesh:D003258	Consumer Behavior	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
icd11	icd11:499724876	Streptococcus pyogenes	skos:exactMatch	ncbitaxon	ncbitaxon:1314	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
icd11	icd11:95298809	Orf virus	skos:exactMatch	ncbitaxon	ncbitaxon:10258	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.82
icd11	icd11:2052462000	Erythroblast	skos:exactMatch	cl	cl:0000765	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
nbo	nbo:0000181	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:906623760	Long-term memory	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
efo	efo:0000536	hyperplasia	skos:exactMatch	pato	pato:0000644	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.57
icd11	icd11:507535969	Rickettsia	skos:exactMatch	ncbitaxon	ncbitaxon:780	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.94
ncbitaxon	ncbitaxon:168	NO_NAME_FOUND	skos:exactMatch	efo	efo:0007548	yaws	semapv:SemanticSimilarityThresholdMatching	logmap	0.54
doid	doid:4411	hepatitis E	skos:exactMatch	ncbitaxon	ncbitaxon:291484	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
ncbitaxon	ncbitaxon:780	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:507535969	Rickettsia	semapv:SemanticSimilarityThresholdMatching	logmap	0.94
efo	efo:0007139	aleutian mink disease	skos:exactMatch	ncbitaxon	ncbitaxon:28314	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.49
efo	efo:1001313	Enterobacteriaceae Infections	skos:exactMatch	ncbitaxon	ncbitaxon:543	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.56
icd11	icd11:244925662	Helicobacter pylori	skos:exactMatch	ncbitaxon	ncbitaxon:210	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:523103	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1959760330	Trichophyton mentagrophytes	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
cl	cl:0000408	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:67650550	Male gamete	semapv:SemanticSimilarityThresholdMatching	logmap	0.59
ncbitaxon	ncbitaxon:39724	NO_NAME_FOUND	skos:exactMatch	efo	efo:1001292	Circoviridae Infections	semapv:SemanticSimilarityThresholdMatching	logmap	0.61
mesh	mesh:D012380	Role	skos:exactMatch	bfo	bfo:0000023	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
mondo	mondo:0011431	MASS syndrome	skos:exactMatch	pato	pato:0000125	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
icd11	icd11:1226320707	Metagonimus	skos:exactMatch	ncbitaxon	ncbitaxon:84527	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
icd11	icd11:1522409994	Bartonella	skos:exactMatch	ncbitaxon	ncbitaxon:773	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
ncbitaxon	ncbitaxon:813	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1526491884	Chlamydia trachomatis	semapv:SemanticSimilarityThresholdMatching	logmap	0.78
icd11	icd11:1174051950	La Crosse virus	skos:exactMatch	ncbitaxon	ncbitaxon:11577	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:1736699377	Coccidioides immitis	skos:exactMatch	ncbitaxon	ncbitaxon:5501	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.91
ncbitaxon	ncbitaxon:34503	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:314596400	Paragonimus	semapv:SemanticSimilarityThresholdMatching	logmap	0.89
icd11	icd11:888671567	Treponema pallidum	skos:exactMatch	ncbitaxon	ncbitaxon:160	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.8
ogms	ogms:0000031	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:504387587	Juvenile systemic arthritis	semapv:SemanticSimilarityThresholdMatching	logmap	0.72
mondo	mondo:0018428	9q31.1q31.3 microdeletion syndrome	skos:exactMatch	chr	chr:9606-chr9q31.1-q31.3	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
ncbitaxon	ncbitaxon:5721	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:415435228	Trichomonas	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
icd11	icd11:828798245	Interneuron	skos:exactMatch	cl	cl:0000099	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.74
icd11	icd11:594199384	Geotrichum	skos:exactMatch	ncbitaxon	ncbitaxon:43987	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:482538	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:2103110793	Isospora belli	semapv:SemanticSimilarityThresholdMatching	logmap	0.82
mondo	mondo:0012774	chromosome 15q13.3 microdeletion syndrome	skos:exactMatch	chr	chr:9606-chr15q13.3	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
icd11	icd11:2104676964	Other effects of reduced temperature	skos:exactMatch	pato	pato:0001985	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.53
ncbitaxon	ncbitaxon:590	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1925624032	Salmonella Give	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:4753	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1988265319	Pneumocystis	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
icd11	icd11:575932374	Enterobius	skos:exactMatch	ncbitaxon	ncbitaxon:51027	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.92
doid	doid:0070620	ring chromosome syndrome	skos:exactMatch	so	so:1000045	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
ncbitaxon	ncbitaxon:12059	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:626416374	Enterovirus	semapv:SemanticSimilarityThresholdMatching	logmap	0.89
ncbitaxon	ncbitaxon:12637	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:947890362	Dengue virus	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
ncbitaxon	ncbitaxon:12475	NO_NAME_FOUND	skos:exactMatch	efo	efo:0007304	hepatitis D virus infection	semapv:SemanticSimilarityThresholdMatching	logmap	0.49
ncbitaxon	ncbitaxon:1313	NO_NAME_FOUND	skos:exactMatch	doid	doid:0040084	Streptococcus pneumonia	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
doid	doid:0060405	chromosome 17q23.1-q23.2 deletion syndrome	skos:exactMatch	chr	chr:9606-chr17q23.1-q23.2	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
doid	doid:0060394	chromosome 15q13.3 microdeletion syndrome	skos:exactMatch	chr	chr:9606-chr15q13.3	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.55
orphanet.ordo	orphanet.ordo:140541	RPGRIP1 like	skos:exactMatch	ncbigene	ncbigene:475400	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.77
ncbitaxon	ncbitaxon:121752	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1008325244	Lacazia loboi	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:1313	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:701476640	Streptococcus pneumoniae	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:122354	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1474462631	Mansonella ozzardi	semapv:SemanticSimilarityThresholdMatching	logmap	0.84
icd11	icd11:977078705	Legionella	skos:exactMatch	ncbitaxon	ncbitaxon:445	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
ncbitaxon	ncbitaxon:810	NO_NAME_FOUND	skos:exactMatch	ncit	ncit:C34463	Chlamydial Infection	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
ncit	ncit:C3334	Pneumocystis Pneumonia	skos:exactMatch	ncbitaxon	ncbitaxon:4753	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
icd11	icd11:1829653149	Basidiobolus	skos:exactMatch	ncbitaxon	ncbitaxon:4859	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
efo	efo:1001309	Encephalitis, Tick-Borne	skos:exactMatch	ncbitaxon	ncbitaxon:11084	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.51
ncbitaxon	ncbitaxon:138	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:686273744	Borrelia	semapv:SemanticSimilarityThresholdMatching	logmap	0.75
mondo	mondo:0013646	chromosome 8q21.11 deletion syndrome	skos:exactMatch	chr	chr:9606-chr8q21.11	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.52
gard	gard:6902	Li-fraumeni syndrome	skos:exactMatch	omim.ps	omim.ps:151623	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.7
icd11	icd11:1159128978	Yersinia pestis	skos:exactMatch	ncbitaxon	ncbitaxon:632	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
mf	mf:0000013	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:854468725	Thinking	semapv:SemanticSimilarityThresholdMatching	logmap	0.73
ncbitaxon	ncbitaxon:10242	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:535370275	Orthopoxvirus	semapv:SemanticSimilarityThresholdMatching	logmap	0.79
ncbitaxon	ncbitaxon:810	NO_NAME_FOUND	skos:exactMatch	icd11	icd11:1065383727	Chlamydia	semapv:SemanticSimilarityThresholdMatching	logmap	0.58
icd11	icd11:2103769313	Corynebacterium diphtheriae	skos:exactMatch	ncbitaxon	ncbitaxon:1717	NO_NAME_FOUND	semapv:SemanticSimilarityThresholdMatching	logmap	0.76
